D:\CrystaLLM\.venv\lib\site-packages\torch\nn\modules\transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[load] reading v28_train.parquet ...
[load] reading v28_val.parquet ...
[load] train bytes: 2,000,000  val bytes: 100,000
[data] train=2,000,000 bytes  val=100,000 bytes

>>> V50 BYTE-LEVEL SANITY: 50M, 8000 steps, eval @ (500, 2000, 4000, 6000, 8000), ¦Á_max=0.1 <<<

======================================================================
[Exp32 v50_byte_sanity] d_model=640 nhead=8 layers=10
  steps=8000  lr=5e-05  warmup=100  ¦Á_max=0.1
  batch=32  seq_len=64  vocab=256  do_eval=True
======================================================================
  params: 49,605,120 (49.6M)
  step  4800/8000  lr=5.00e-05  ¦Á=0.100  loss=1.1867  mem=1.8GB  elapsed=238s
  step  4900/8000  lr=5.00e-05  ¦Á=0.100  loss=1.1693  mem=1.8GB  elapsed=241s
  step  5000/8000  lr=5.00e-05  ¦Á=0.100  loss=1.1720  mem=1.8GB  elapsed=244s
  step  5100/8000  lr=5.00e-05  ¦Á=0.100  loss=1.1589  mem=1.8GB  elapsed=249s
  step  5200/8000  lr=5.00e-05  ¦Á=0.100  loss=1.1586  mem=1.8GB  elapsed=252s
  step  5300/8000  lr=5.00e-05  ¦Á=0.100  loss=1.1323  mem=1.8GB  elapsed=255s
  step  5400/8000  lr=5.00e-05  ¦Á=0.100  loss=1.1247  mem=1.8GB  elapsed=258s
  step  5500/8000  lr=5.00e-05  ¦Á=0.100  loss=1.1113  mem=1.8GB  elapsed=262s
  step  5600/8000  lr=5.00e-05  ¦Á=0.100  loss=1.1172  mem=1.8GB  elapsed=265s
  step  5700/8000  lr=5.00e-05  ¦Á=0.100  loss=1.0890  mem=1.8GB  elapsed=268s
  step  5800/8000  lr=5.00e-05  ¦Á=0.100  loss=1.0928  mem=1.8GB  elapsed=271s
  step  5900/8000  lr=5.00e-05  ¦Á=0.100  loss=1.0713  mem=1.8GB  elapsed=274s
  step  6000/8000  lr=5.00e-05  ¦Á=0.100  loss=1.0651  mem=1.8GB  elapsed=278s
  >>> ckpt@6000: TF=5.86  argmax=48.03  soft=39.09  soft-adv=+18.61%  ¦¤(infer-train)=33.23  time=278s
  step  6100/8000  lr=5.00e-05  ¦Á=0.100  loss=1.0527  mem=1.8GB  elapsed=312s
  step  6200/8000  lr=5.00e-05  ¦Á=0.100  loss=1.0460  mem=1.8GB  elapsed=315s
  step  6300/8000  lr=5.00e-05  ¦Á=0.100  loss=1.0384  mem=1.8GB  elapsed=318s
  step  6400/8000  lr=5.00e-05  ¦Á=0.100  loss=1.0288  mem=1.8GB  elapsed=321s
  step  6500/8000  lr=5.00e-05  ¦Á=0.100  loss=1.0264  mem=1.8GB  elapsed=324s
  step  6600/8000  lr=5.00e-05  ¦Á=0.100  loss=1.0069  mem=1.8GB  elapsed=328s
  step  6700/8000  lr=5.00e-05  ¦Á=0.100  loss=1.0052  mem=1.8GB  elapsed=331s
  step  6800/8000  lr=5.00e-05  ¦Á=0.100  loss=1.0017  mem=1.8GB  elapsed=334s
  step  6900/8000  lr=5.00e-05  ¦Á=0.100  loss=0.9995  mem=1.8GB  elapsed=337s
  step  7000/8000  lr=5.00e-05  ¦Á=0.100  loss=0.9871  mem=1.8GB  elapsed=340s
