D:\CrystaLLM\.venv\lib\site-packages\torch\nn\modules\transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[data] train=65,269,944  val=26,431

======================================================================
[Exp30 stageA_50M] d_model=640 nhead=8 layers=10
  steps=8000  lr=5e-05  warmup=1000  ¦Á_max=0.5
  batch=32  seq_len=128  do_eval=True
======================================================================
  params: 54,566,400 (54.6M)
  step  5100/8000  lr=5.00e-05  ¦Á=0.500  loss=3.8999  mem=3.0GB  elapsed=391s
  step  5200/8000  lr=5.00e-05  ¦Á=0.500  loss=3.8809  mem=3.0GB  elapsed=397s
  step  5300/8000  lr=5.00e-05  ¦Á=0.500  loss=3.8309  mem=3.0GB  elapsed=403s
  step  5400/8000  lr=5.00e-05  ¦Á=0.500  loss=3.8298  mem=3.0GB  elapsed=409s
  step  5500/8000  lr=5.00e-05  ¦Á=0.500  loss=3.7939  mem=3.0GB  elapsed=416s
  step  5600/8000  lr=5.00e-05  ¦Á=0.500  loss=3.7637  mem=3.0GB  elapsed=422s
  step  5700/8000  lr=5.00e-05  ¦Á=0.500  loss=3.7344  mem=3.0GB  elapsed=428s
  step  5800/8000  lr=5.00e-05  ¦Á=0.500  loss=3.7123  mem=3.0GB  elapsed=435s
  step  5900/8000  lr=5.00e-05  ¦Á=0.500  loss=3.6950  mem=3.0GB  elapsed=441s
  step  6000/8000  lr=5.00e-05  ¦Á=0.500  loss=3.6398  mem=3.0GB  elapsed=447s
  step  6100/8000  lr=5.00e-05  ¦Á=0.500  loss=3.6214  mem=3.0GB  elapsed=454s
  step  6200/8000  lr=5.00e-05  ¦Á=0.500  loss=3.5959  mem=3.0GB  elapsed=460s
  step  6300/8000  lr=5.00e-05  ¦Á=0.500  loss=3.5807  mem=3.0GB  elapsed=467s
  step  6400/8000  lr=5.00e-05  ¦Á=0.500  loss=3.5423  mem=3.0GB  elapsed=474s
  step  6500/8000  lr=5.00e-05  ¦Á=0.500  loss=3.4868  mem=3.0GB  elapsed=480s
  step  6600/8000  lr=5.00e-05  ¦Á=0.500  loss=3.5184  mem=3.0GB  elapsed=486s
  step  6700/8000  lr=5.00e-05  ¦Á=0.500  loss=3.5029  mem=3.0GB  elapsed=492s
  step  6800/8000  lr=5.00e-05  ¦Á=0.500  loss=3.4188  mem=3.0GB  elapsed=498s
  step  6900/8000  lr=5.00e-05  ¦Á=0.500  loss=3.4368  mem=3.0GB  elapsed=505s
  step  7000/8000  lr=5.00e-05  ¦Á=0.500  loss=3.3763  mem=3.0GB  elapsed=511s
  step  7100/8000  lr=5.00e-05  ¦Á=0.500  loss=3.3869  mem=3.0GB  elapsed=516s
  step  7200/8000  lr=5.00e-05  ¦Á=0.500  loss=3.3840  mem=3.0GB  elapsed=522s
  step  7300/8000  lr=5.00e-05  ¦Á=0.500  loss=3.3556  mem=3.0GB  elapsed=528s
  step  7400/8000  lr=5.00e-05  ¦Á=0.500  loss=3.3576  mem=3.0GB  elapsed=534s
  step  7500/8000  lr=5.00e-05  ¦Á=0.500  loss=3.3406  mem=3.0GB  elapsed=540s
  step  7600/8000  lr=5.00e-05  ¦Á=0.500  loss=3.3131  mem=3.0GB  elapsed=546s
  step  7700/8000  lr=5.00e-05  ¦Á=0.500  loss=3.2894  mem=3.0GB  elapsed=552s
  step  7800/8000  lr=5.00e-05  ¦Á=0.500  loss=3.2616  mem=3.0GB  elapsed=558s
  step  7900/8000  lr=5.00e-05  ¦Á=0.500  loss=3.2491  mem=3.0GB  elapsed=564s
  step  8000/8000  lr=5.00e-05  ¦Á=0.500  loss=3.2188  mem=3.0GB  elapsed=569s
  >>> ckpt@8000: TF=17.41  argmax=10662.55  soft=6352.15  soft-adv=+40.43%  ¦¤(infer-train)=6334.73  time=569s
[saved] -> experiments/v49_pre/results/exp30_50m.final.pt
[saved] -> experiments/v49_pre/exp30_stageA_results.json
