=== v35: 重训 drafter (100K 扩展数据) ===
Vocab 2261
Loading cached_v35_outputs.npz (100K samples) ...
  z: torch.Size([99984, 256]), tokens: torch.Size([99984, 100])
Drafter: 28.24M params
  tok_emb + tied head: 1.16M params

=== 训练 30000 steps, B=32, LR=0.0002 ===
  step 25500/30000 | loss 0.0920 | pred_match 1.6% | target_match 100.0% | LR 1.20e-05 | 323s ETA 57s
  step 26000/30000 | loss 0.1390 | pred_match 1.6% | target_match 100.0% | LR 9.56e-06 | 330s ETA 51s
  step 26500/30000 | loss 0.1090 | pred_match 5.5% | target_match 100.0% | LR 7.35e-06 | 336s ETA 44s
  step 27000/30000 | loss 0.0965 | pred_match 4.7% | target_match 100.0% | LR 5.41e-06 | 342s ETA 38s
  step 27500/30000 | loss 0.0898 | pred_match 4.7% | target_match 100.0% | LR 3.77e-06 | 348s ETA 32s
  step 28000/30000 | loss 0.1074 | pred_match 1.6% | target_match 100.0% | LR 2.42e-06 | 355s ETA 25s
  step 28500/30000 | loss 0.0377 | pred_match 5.5% | target_match 100.0% | LR 1.36e-06 | 361s ETA 19s
  step 29000/30000 | loss 0.0536 | pred_match 1.6% | target_match 100.0% | LR 6.06e-07 | 367s ETA 13s
  step 29500/30000 | loss 0.1277 | pred_match 1.6% | target_match 100.0% | LR 1.51e-07 | 374s ETA 6s
  step 29999/30000 | loss 0.0744 | pred_match 3.9% | target_match 100.0% | LR 0.00e+00 | 381s ETA 0s

Model saved: v35_diff_drafter.pt (117.6 MB)

=== 训练完成 (381s) ===
