=== v19 Diffusion Prior STARTUP ===
train_z: torch.Size([1893, 64]) | val_z: torch.Size([210, 64])
train mu_norm: 4.418 +/- 0.925
val mu_norm:   4.475 +/- 1.011
DiffusionPrior params: 826.2K
Config: B=512 EPOCHS=200 LR=0.001 PATIENCE=20 steps=5

=== train 200 epochs ===
  epoch  51/200 | train_loss 0.1301 | val_loss 0.1290 | cos_sim(5step) 0.730 (1step 0.751) | 2s
  epoch  52/200 | train_loss 0.1399 | val_loss 0.1429 | cos_sim(5step) 0.735 (1step 0.753) | 2s
  epoch  53/200 | train_loss 0.1380 | val_loss 0.1430 | cos_sim(5step) 0.733 (1step 0.786) | 2s
  epoch  54/200 | train_loss 0.1297 | val_loss 0.1310 | cos_sim(5step) 0.742 (1step 0.787) | 2s
  epoch  55/200 | train_loss 0.1258 | val_loss 0.1316 | cos_sim(5step) 0.762 (1step 0.766) | 2s
  epoch  56/200 | train_loss 0.1291 | val_loss 0.1113 | cos_sim(5step) 0.749 (1step 0.787) | 2s
  epoch  57/200 | train_loss 0.1335 | val_loss 0.1428 | cos_sim(5step) 0.769 (1step 0.767) | 2s
  epoch  58/200 | train_loss 0.1345 | val_loss 0.1328 | cos_sim(5step) 0.783 (1step 0.788) | 2s
  epoch  59/200 | train_loss 0.1310 | val_loss 0.1291 | cos_sim(5step) 0.782 (1step 0.790) | 2s
  epoch  60/200 | train_loss 0.1252 | val_loss 0.1520 | cos_sim(5step) 0.747 (1step 0.798) | 2s
  epoch  61/200 | train_loss 0.1287 | val_loss 0.1440 | cos_sim(5step) 0.743 (1step 0.788) | 2s
  epoch  62/200 | train_loss 0.1276 | val_loss 0.1449 | cos_sim(5step) 0.740 (1step 0.794) | 2s
  epoch  63/200 | train_loss 0.1261 | val_loss 0.1362 | cos_sim(5step) 0.764 (1step 0.780) | 2s
  epoch  64/200 | train_loss 0.1221 | val_loss 0.1253 | cos_sim(5step) 0.742 (1step 0.798) | 2s
  epoch  65/200 | train_loss 0.1296 | val_loss 0.1365 | cos_sim(5step) 0.765 (1step 0.792) | 2s
  epoch  66/200 | train_loss 0.1296 | val_loss 0.1509 | cos_sim(5step) 0.759 (1step 0.788) | 2s
  epoch  67/200 | train_loss 0.1232 | val_loss 0.1293 | cos_sim(5step) 0.761 (1step 0.789) | 2s
  epoch  68/200 | train_loss 0.1193 | val_loss 0.1239 | cos_sim(5step) 0.763 (1step 0.774) | 2s
  epoch  69/200 | train_loss 0.1272 | val_loss 0.1347 | cos_sim(5step) 0.777 (1step 0.820) | 2s
  epoch  70/200 | train_loss 0.1160 | val_loss 0.1299 | cos_sim(5step) 0.756 (1step 0.783) | 2s
  epoch  71/200 | train_loss 0.1157 | val_loss 0.1225 | cos_sim(5step) 0.757 (1step 0.789) | 2s
  epoch  72/200 | train_loss 0.1193 | val_loss 0.1075 | cos_sim(5step) 0.758 (1step 0.790) | 3s
  epoch  73/200 | train_loss 0.1220 | val_loss 0.1189 | cos_sim(5step) 0.759 (1step 0.780) | 3s
  epoch  74/200 | train_loss 0.1183 | val_loss 0.1209 | cos_sim(5step) 0.722 (1step 0.794) | 3s
  epoch  75/200 | train_loss 0.1143 | val_loss 0.1323 | cos_sim(5step) 0.720 (1step 0.787) | 3s
  epoch  76/200 | train_loss 0.1240 | val_loss 0.1043 | cos_sim(5step) 0.750 (1step 0.788) | 3s
  epoch  77/200 | train_loss 0.1223 | val_loss 0.1156 | cos_sim(5step) 0.773 (1step 0.796) | 3s
  epoch  78/200 | train_loss 0.1281 | val_loss 0.1681 | cos_sim(5step) 0.732 (1step 0.788) | 3s
  epoch  79/200 | train_loss 0.1190 | val_loss 0.1260 | cos_sim(5step) 0.748 (1step 0.798) | 3s
  epoch  80/200 | train_loss 0.1177 | val_loss 0.1311 | cos_sim(5step) 0.757 (1step 0.785) | 3s
  epoch  81/200 | train_loss 0.1183 | val_loss 0.1113 | cos_sim(5step) 0.759 (1step 0.774) | 3s
  epoch  82/200 | train_loss 0.1234 | val_loss 0.1412 | cos_sim(5step) 0.713 (1step 0.787) | 3s
  epoch  83/200 | train_loss 0.1271 | val_loss 0.1425 | cos_sim(5step) 0.763 (1step 0.793) | 3s
  epoch  84/200 | train_loss 0.1220 | val_loss 0.1256 | cos_sim(5step) 0.764 (1step 0.801) | 3s
  epoch  85/200 | train_loss 0.1126 | val_loss 0.1257 | cos_sim(5step) 0.765 (1step 0.789) | 3s
  epoch  86/200 | train_loss 0.1216 | val_loss 0.1230 | cos_sim(5step) 0.760 (1step 0.793) | 3s
  epoch  87/200 | train_loss 0.1136 | val_loss 0.0998 | cos_sim(5step) 0.707 (1step 0.805) | 3s
  epoch  88/200 | train_loss 0.1180 | val_loss 0.1144 | cos_sim(5step) 0.768 (1step 0.793) | 3s
  epoch  89/200 | train_loss 0.1200 | val_loss 0.1292 | cos_sim(5step) 0.752 (1step 0.793) | 3s
  epoch  90/200 | train_loss 0.1162 | val_loss 0.1133 | cos_sim(5step) 0.748 (1step 0.797) | 3s
  epoch  91/200 | train_loss 0.1207 | val_loss 0.1332 | cos_sim(5step) 0.759 (1step 0.799) | 3s
  epoch  92/200 | train_loss 0.1207 | val_loss 0.1029 | cos_sim(5step) 0.744 (1step 0.794) | 3s
  epoch  93/200 | train_loss 0.1205 | val_loss 0.1201 | cos_sim(5step) 0.722 (1step 0.785) | 3s
  epoch  94/200 | train_loss 0.1197 | val_loss 0.1249 | cos_sim(5step) 0.768 (1step 0.796) | 3s
  epoch  95/200 | train_loss 0.1164 | val_loss 0.1109 | cos_sim(5step) 0.766 (1step 0.780) | 3s
  epoch  96/200 | train_loss 0.1129 | val_loss 0.1098 | cos_sim(5step) 0.740 (1step 0.802) | 3s
  epoch  97/200 | train_loss 0.1229 | val_loss 0.1242 | cos_sim(5step) 0.740 (1step 0.786) | 3s
  epoch  98/200 | train_loss 0.1155 | val_loss 0.1049 | cos_sim(5step) 0.765 (1step 0.782) | 3s
  epoch  99/200 | train_loss 0.1155 | val_loss 0.1308 | cos_sim(5step) 0.752 (1step 0.772) | 3s
  epoch 100/200 | train_loss 0.1177 | val_loss 0.1174 | cos_sim(5step) 0.777 (1step 0.776) | 3s
  epoch 101/200 | train_loss 0.1146 | val_loss 0.1102 | cos_sim(5step) 0.741 (1step 0.792) | 3s
  epoch 102/200 | train_loss 0.1155 | val_loss 0.1128 | cos_sim(5step) 0.742 (1step 0.761) | 3s
  epoch 103/200 | train_loss 0.1121 | val_loss 0.1331 | cos_sim(5step) 0.767 (1step 0.768) | 3s
  epoch 104/200 | train_loss 0.1163 | val_loss 0.1181 | cos_sim(5step) 0.750 (1step 0.779) | 3s
  epoch 105/200 | train_loss 0.1129 | val_loss 0.1067 | cos_sim(5step) 0.744 (1step 0.801) | 4s
  epoch 106/200 | train_loss 0.1092 | val_loss 0.1228 | cos_sim(5step) 0.765 (1step 0.795) | 4s
  epoch 107/200 | train_loss 0.1079 | val_loss 0.1185 | cos_sim(5step) 0.743 (1step 0.787) | 4s
  Early stop at epoch 107 (no improve for 20 epochs)

Final model saved: crystalllm/diffusion_prior.pt (val_loss 0.0998)
Total time: 4s
Log saved: crystalllm/v19_train_log.json
